product_code,product_name,variant_label,category,price_eur,description,available,sold_out,product_url
EFG,Enterprise Fortress Gateway,,Cloud Gateways,2000.00,"25G Cloud Gateway with 500+ UniFi device / 5,000+ client support, 12.5 Gbps IPS routing, and complete high availability.",Non,Oui,https://eu.store.ui.com/eu/en/category/cloud-gateways-enterprise-scale/products/efg
UDM-Beast,Dream Machine Beast,,Cloud Gateways,1428.00,"Hyperscale-class Cloud Gateway delivering 25 Gbps IPS/IDS, 7,500+ client capacity, and the full UniFi application platform in one system.",Oui,Non,https://eu.store.ui.com/eu/en/category/cloud-gateways-large-scale/products/udm-beast
UDM-Pro-Max,Dream Machine Pro Max,,Cloud Gateways,570.00,"10G Cloud Gateway with 200+ UniFi device / 2,000+ client support, 5 Gbps IPS routing, and redundant NVR storage.",Oui,Non,https://eu.store.ui.com/eu/en/category/cloud-gateways-large-scale/products/udm-pro-max
UDM-Pro,Dream Machine Pro,,Cloud Gateways,360.00,"10G Cloud Gateway with 100+ UniFi device / 1,000+ client support and 3.5 Gbps IPS routing.",Oui,Non,https://eu.store.ui.com/eu/en/category/cloud-gateways-large-scale/products/udm-pro
UDM-SE (180W),Dream Machine Special Edition,,Cloud Gateways,475.00,"10G Cloud Gateway with 100+ UniFi device / 1,000+ client support, 3.5 Gbps IPS routing, and built-in PoE switching.",Oui,Non,https://eu.store.ui.com/eu/en/category/cloud-gateways-large-scale/products/udm-se
UCG-Fiber (30W),Cloud Gateway Fiber,,Cloud Gateways,264.00,"Desktop 10G Cloud Gateway with integrated 4-port 2.5 GbE switch, selectable NVR storage, and full UniFi application support.",Oui,Non,https://eu.store.ui.com/eu/en/category/cloud-gateways-compact/collections/cloud-gateway-fiber/products/ucg-fiber
UCG-Max,Cloud Gateway Max,,Cloud Gateways,264.00,"Compact 2.5G Cloud Gateway with 30+ UniFi device / 300+ client support, 2.3 Gbps IPS routing, and selectable NVR storage.",Oui,Non,https://eu.store.ui.com/eu/en/category/cloud-gateways-compact/collections/cloud-gateway-max
UCG-Ultra,Cloud Gateway Ultra,,Cloud Gateways,95.00,"Compact Cloud Gateway with 30+ UniFi device / 300+ client support, 1 Gbps IPS routing, and multi-WAN load balancing.",Oui,Non,https://eu.store.ui.com/eu/en/category/cloud-gateways-compact/products/ucg-ultra
UCG-Industrial (270W),Cloud Gateway Industrial,,Cloud Gateways,520.00,"Ruggedized, fanless 10 GbE UniFi Cloud Gateway delivering 350W of total system power for high-density PoE deployments, with advanced routing capabilities and microSD storage for full UniFi application support.",Oui,Non,https://eu.store.ui.com/eu/en/category/cloud-gateways-wifi-integrated/products/ucg-industrial
UDR-5G-Max (15W),Dream Router 5G Max,,Cloud Gateways,449.00,"Desktop Cloud Gateway with full-performance 5G up to 3.4 Gbps, WiFi 7, 10G SFP+, 4-port 2.5 GbE switch with (1) PoE port, and SD card storage.",Non,Oui,https://eu.store.ui.com/eu/en/category/cloud-gateways-wifi-integrated/products/udr-5g-max-eu
UDR7 (15W),Dream Router 7,,Cloud Gateways,264.00,"Desktop 10G Cloud Gateway with integrated WiFi 7, PoE switch, microSD storage, and full UniFi application support.",Oui,Non,https://eu.store.ui.com/eu/en/category/cloud-gateways-wifi-integrated/products/udr7
UX7,UniFi Express 7,,Cloud Gateways,189.00,"Mesh-scalable, super-compact 10G Cloud Gateway with integrated WiFi 7.",Oui,Non,https://eu.store.ui.com/eu/en/category/cloud-gateways-wifi-integrated/products/ux7
UDW (420W),Dream Wall,,Cloud Gateways,553.00,"Wall-mounted 10G Cloud Gateway with integrated WiFi 6, high-power PoE switching, and full UniFi application support.",Non,Oui,https://eu.store.ui.com/eu/en/category/cloud-gateways-wifi-integrated/products/udw
USW-Pro-Max-48-PoE (720W),Pro Max 48 PoE,,Switching,1269.00,"A 48-port, Layer 3 Etherlighting™ switch with 2.5 GbE and PoE++ output.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-max-48-poe
USW-Pro-Max-24-PoE (400W),Pro Max 24 PoE,,Switching,782.00,"A 24-port, Layer 3 Etherlighting™ switch capable of high-power PoE++ output.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-max-24-poe
USW-Pro-XG-48-PoE (1080W),Pro XG 48 PoE,,Switching,2381.00,"Professional-grade, 48-port Layer 3 Etherlighting™ PoE+++ switch with (32) 10 GbE, (16) 2.5 GbE PoE, and (4) 25G SFP28 ports.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-xg-48-poe
USW-Pro-XG-24-PoE (720W),Pro XG 24 PoE,,Switching,1714.00,"Professional-grade, 24-port Layer 3 Etherlighting™ PoE+++ switch with (16) 10 GbE, (8) 2.5 GbE, and (2) 25G SFP28 ports.",Oui,Non,https://eu.store.ui.com/eu/en/category/switching-professional-max-xg/products/usw-pro-xg-24-poe
